   4,   0,  -3,   7,  -7,  25,   3,   3,1478626603.500
  -3,   8,   5,   9,   1,  -2,  12,  -5,1478626603.500
   0,  13,  -6,  -7,  10, -75,   5, -12,1478626603.507
   6,   3,   2,  -1,  12, -49,  20,  18,1478626603.507
 -15,  -2,  -7,  14,  16, -56,  20, -45,1478626603.531
  12,  16,   3,  13,  15,  -7,   9,  21,1478626603.531
  47,  47,   8,   1,   3, -47,  48, -44,1478626603.532
 105, -93,   5,   5,   9, -17, -34,  33,1478626603.532
 127,  -4,  25,  18,  12, -13, -95,  66,1478626603.540
 -42, -28,  22, -23,   6,  35, -31,  42,1478626603.540
-109,  19, -88,  47,  16,  63, -10, -42,1478626603.544
-123,  65,-117, -31,  36,  97,  18,-121,1478626603.544
 -14, -14,-126,  38,  94,  60,  77, 108,1478626603.561
  44,  62,-109, -45, -98,  55, -23,  22,1478626603.561
 -85,  36,-105, -43,-101, -91,   8, 127,1478626603.567
  67,  46, -53, -10,-128, -38,  12, 115,1478626603.567
 -74,  -3,  89,   0,  68, -17,  -1,-122,1478626603.583
  70,  63, 120,  16,  95, -90,  -7,  78,1478626603.583
  73, -65, 127, -29,  75,  87, 101, -16,1478626603.589
 -62, -78, -91, -34, -94,  66,  95,  27,1478626603.589
  25, 101, 101,  -8, -26,  34, -77, 124,1478626603.598
 -25,-121, -27, -36, -94,   6, -56, -87,1478626603.598
 -50,  87,  -2, -36, -88,  29,-128, -98,1478626603.604
  44,  93,  84, -94, -52, -48, -53,  56,1478626603.604
  54,-104,  60, -15, -96, -36, -87,-128,1478626603.621
  28,  -4,   0,  42, 123,  85, -26, -70,1478626603.621
 113, -98,  56,  39,  71,-128,-128, -53,1478626603.627
  48, -84,  71,  63,  33, -55, -53,-125,1478626603.627
 -41, -76, -20, -86,  23,  21, -41, 111,1478626603.643
 -86, -80, -29, -85,-128,  68,  79, 103,1478626603.643
  55,-128,-128,  -4,  72, -19, 125,  44,1478626603.649
   0, -12,  29, 119, 127,  21,  48,  36,1478626603.649
  31,  61,  12, 127,  41,-117, 127,   7,1478626603.658
  42,   6,  66,  79, -64, -68,  67,  -5,1478626603.658
  43,  21,  52,  -5,-104, 127,  43,  33,1478626603.664
  43,  27,   9, -29, -36,  73, -37,   6,1478626603.664
  16,  -7, -45, -97,  24, 125, -31,   3,1478626603.681
 -58,  55, -44, -65,  40, -10, -56,   0,1478626603.681
 -67,  69, -16, -60, -85,  68, -43,  45,1478626603.687
  -1,  17, -14,  65, -68,-111, -56, -28,1478626603.687
 -42,  11, -42,  10,  45, -41,  -6, -13,1478626603.703
 -33,  43, -11,  57, 127, -44, -26,  17,1478626603.704
 -31,  48,   7, -40, 127, -64, -33,  17,1478626603.709
 -83,  33,   7, -39,  56,  79, -31,  41,1478626603.709
 -69,  64, -38,  22,  38,  27,  34, -27,1478626603.720
   2,  43, -11,  64,  30, -70, 105, -19,1478626603.720
   5,  24,  22,  31, -28, -28, 109,  -5,1478626603.724
  23,  -2,   1,  -9, -30, -95,  16,  -4,1478626603.724
  68, -47, -13,  19,-128, -23, -85, -21,1478626603.741
  43, -63, -17,  -6, -49, 115,-128, -17,1478626603.741
 -14, -46,   1,  20, -18, 127,-128,   5,1478626603.747
 -41,  -5,   1, -14, -13,  84, -25, -17,1478626603.747
  -7,   2,   3,   0, -32,  32,  13, -12,1478626603.763
   8, -19,   2, -26,   6,  46,   7, -16,1478626603.763
   1,  13, -14,   3,  33,-128,  25,  14,1478626603.770
  -4,  14,  -5, -19,  40, -56,  19, -11,1478626603.770
 -22,  12, -23, -59,  54,-128,  11,  17,1478626603.778
 -17,  14, -15,   1,  40,  24,  20, -16,1478626603.778
  -2,   4,   1,  -7,   9,  68,  18, -11,1478626603.792
  14, -15,  17,  41,  24, 105,   4,  -7,1478626603.792
  -5,  -7,  -8, -92, -63, 127,  19, -20,1478626603.801
  32,  -6,  -1,  96, -83,  57,   2,   1,1478626603.801
  22,  -3,  15,  53, -42,  49,  -8,   3,1478626603.807
   7,  -7,  -3, -43, -47, 127, -11,  -8,1478626603.807
  11,   8, -12, -31,  17,  83,  22,  -3,1478626603.824
  -4,  10,   3, -93,  19, -44, -15,  -7,1478626603.824
  -5,  -5,   0, -17,  24,-116,  -8,  -3,1478626603.829
 -22,   7,  -5,  -8,  25,-106,   5,  12,1478626603.830
 -19,  10,   1, -22,  26,-128,   6, -16,1478626603.840
 -10,   0,  -6,  20, -21, -71,  -7,   6,1478626603.840
 -11,   1,  -4,  10,  11, -29,  -7,  -6,1478626603.852
  -5,   4,  10, -11,  23, -17,   0,  11,1478626603.852
  10,  -4,   4, -70,  12,   4,  -4, -18,1478626603.861
  -4,  -1,  -9,  21, -72,  -1,   4,  13,1478626603.861
  -1,  -1,   4, -36,   6,  42,   6,  14,1478626603.867
   7,   1, -15, -22, -44,  -2,  -6, -31,1478626603.867
   7,  -3,  18,  84,  27,  16,  -1,  39,1478626603.883
   0,  -4,  -2,-100,  39,  -8,  -2,  -9,1478626603.883
  -4,  -7,  -9, 127,  29, -24,   2,   0,1478626603.889
 -16,   3,  -3,-101,  72,   1,   9,  -6,1478626603.890
  -2,  -2,   3,  73,  52,  23,  -9,  -6,1478626603.898
 -26,  20,   3,  32,  67,  -8,   0,  17,1478626603.898
  14, -13,  -3, -45, -90,   0,  -1,  40,1478626603.912
  -1,   3,   5, -38, -70,   6,  21, -45,1478626603.912
 -30, -28,  -5,   8,   2,  10,   3,  -6,1478626603.921
 -18,   0,  -1, -54, -38, -14,  18, -19,1478626603.921
  70,   9,  -2,  29,  36, -12, -10,  17,1478626603.927
 -26,   2,   5,  68,  75, -92, -11,   9,1478626603.927
  28,  -2,  -3,  -1,  33,  -2,   5,  12,1478626603.943
  -1,  -6,   8,   8,  67,  22,  -2, -15,1478626603.943
 -11,   1,   3, -28,  20,  68,   5, -10,1478626603.958
   9, -16,   7, -19,  22,  44, -17,  -7,1478626603.958
 -10,   1, -12, -28, -48,  32,  -2, -18,1478626603.960
  14,   9,  -6, 123, -38,  32, -10,  12,1478626603.960
